2026-05-22 16:34:54 INFO  com.orangehrm.actiondriver.ActionDriver - enter text : admin123 in : By.name: password
2026-05-22 16:34:54 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (4d55303657ac9900730ec8b1d0c9a69e)] -> xpath: //button[@type='submit']]
2026-05-22 16:34:54 INFO  com.orangehrm.actiondriver.ActionDriver - enter text : admin123 in : By.name: password
2026-05-22 16:34:54 INFO  com.orangehrm.actiondriver.ActionDriver - enter text : nil in : By.name: password
2026-05-22 16:34:54 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (a2667985217d9d8483158611f5a1ca00)] -> xpath: //button[@type='submit']]
2026-05-22 16:34:54 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (00bf59e4c32b7b39294f0adc35893932)] -> xpath: //button[@type='submit']]
2026-05-22 16:34:55 INFO  com.orangehrm.actiondriver.ActionDriver - click on : By.xpath: //button[@type='submit']
2026-05-22 16:34:57 INFO  com.orangehrm.actiondriver.ActionDriver - click on : By.xpath: //button[@type='submit']
2026-05-22 16:34:57 INFO  com.orangehrm.actiondriver.ActionDriver - click on : By.xpath: //button[@type='submit']
2026-05-22 16:34:57 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (00bf59e4c32b7b39294f0adc35893932)] -> xpath: //div[@class="orangehrm-login-form"]/div/div/div/p]
2026-05-22 16:34:57 INFO  com.orangehrm.actiondriver.ActionDriver - 'Invalid credentials' is matched to 'Invalid credentials' at location :By.xpath: //div[@class="orangehrm-login-form"]/div/div/div/p
2026-05-22 16:34:57 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:34:58 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:34:58 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:34:58 INFO  com.orangehrm.factory.DriverFactory - WebDriver terminated
2026-05-22 16:34:58 INFO  com.orangehrm.base.BaseTest - WebDriver instance terminated
2026-05-22 16:34:58 INFO  com.orangehrm.base.BaseTest - ActionDriver instance terminated
2026-05-22 16:34:58 INFO  com.orangehrm.factory.DriverFactory - config file access successfull
2026-05-22 16:34:58 INFO  com.orangehrm.factory.DriverFactory - Test execution runiing on chrome
2026-05-22 16:34:58 INFO  com.orangehrm.factory.DriverFactory - Test execution runiing on chrome
2026-05-22 16:34:58 INFO  com.orangehrm.factory.DriverFactory - config file access successfull
2026-05-22 16:35:00 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:00 INFO  com.orangehrm.base.BaseTest - Selected URL is: http://localhost/OrangeHRM/orangehrm-5.8/web/index.php/auth/login
2026-05-22 16:35:00 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:01 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:01 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:01 INFO  com.orangehrm.actiondriver.ActionDriver - ActionDriver is initalized
2026-05-22 16:35:01 INFO  com.orangehrm.tesetcases.TC001InvalidLoginTest - TC001InvalidLoginTest is executed
2026-05-22 16:35:01 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:02 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (f3f7c4ed2d187944640a3f1e3661fbce)] -> name: username]
2026-05-22 16:35:02 INFO  com.orangehrm.actiondriver.ActionDriver - element located by : By.name: username is visible
2026-05-22 16:35:02 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:35:02 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (f3f7c4ed2d187944640a3f1e3661fbce)] -> name: username]
2026-05-22 16:35:02 INFO  com.orangehrm.actiondriver.ActionDriver - enter text : hello in : By.name: username
